Import Rates,Export Rates,Zip,Utility Name,Utility ID,Tariff Name,Tariff ID
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.248907,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
0.114497,0.129,86011,Arizona Public Service Co,2885,TOU-E,3289754
